-----------------------------------------------------------
Family information: example_data.tab
Log: log.txt
The number of families is 59
Root Family size : 1 ~ 42
Family size : 0 ~ 84
P-value: 0.01
Num of Threads: 10
Num of Random: 1000
Lambda Tree: (((2,2)1,(1,1)1)1,1)
Empirical Prior Estimation Result: (43 iterations)
Poisson lambda: 9.442907 & Score: 909.325700
Lambda : 0.00968658613161,0.00039317276108 & Score: -2489.560695
.Lambda : 0.01017091543819,0.00039317276108 & Score: -2482.914769
.Lambda : 0.00968658613161,0.00041283139914 & Score: -2471.819733
.Lambda : 0.01017091543819,0.00041283139914 & Score: -2465.173905
.Lambda : 0.01041308009148,0.00042266071817 & Score: -2453.556237
.Lambda : 0.00992875078490,0.00044231935622 & Score: -2443.355298
.Lambda : 0.00980766845826,0.00046689265379 & Score: -2425.424121
.Lambda : 0.01053416241813,0.00047672197282 & Score: -2408.405985
.Lambda : 0.01095795056139,0.00050866725965 & Score: -inf
.Lambda : 0.00992875078490,0.00052095390844 & Score: -2384.055564
.Lambda : 0.00968658613161,0.00057010050357 & Score: -2354.878825
.Lambda : 0.01041308009148,0.00057992982260 & Score: -2338.997162
.Lambda : 0.01071578590810,0.00063644840701 & Score: -2301.871770
.Lambda : 0.00986820962158,0.00072982693776 & Score: -2263.439860
.Lambda : 0.00953523322331,0.00085637942024 & Score: -2211.040152
.Lambda : 0.01056443299979,0.00092272732367 & Score: -2170.708543
.Lambda : 0.01100335643388,0.00109904073372 & Score: -inf
.Lambda : 0.00938388031500,0.00114265833690 & Score: -2111.092086
.Lambda : 0.00871792751845,0.00139576330185 & Score: -2052.136290
.Lambda : 0.00974712729493,0.00146211120528 & Score: -2019.436361
.Lambda : 0.00985307433075,0.00176497709781 & Score: -1952.937885
.Lambda : 0.00800656884941,0.00223801307599 & Score: -1904.386314
.Lambda : 0.00672763677422,0.00289565595215 & Score: -1851.836636
.Lambda : 0.00786278358652,0.00326486974810 & Score: -1783.077098
.Lambda : 0.00743521162055,0.00419942297123 & Score: -1713.600606
.Lambda : 0.00430977406403,0.00533010182557 & Score: -1770.722551
.Lambda : 0.00501734891036,0.00663386884465 & Score: -1665.746651
.Lambda : 0.00416220497843,0.00850297529090 & Score: -1649.944603
.Lambda : 0.00728764253495,0.00737229643656 & Score: -1552.541316
.Lambda : 0.00877657677042,0.00839339374206 & Score: -1485.570774
.Lambda : 0.00550357012829,0.01269694606173 & Score: -1477.362306
.Lambda : 0.00453774938216,0.01694570760698 & Score: -1467.118702
.Lambda : 0.00915212117415,0.01683612605814 & Score: -1319.402661
.Lambda : 0.01164707927202,0.02100270144176 & Score: -inf
.Lambda : 0.00491329378590,0.02538843992306 & Score: -1376.926852
.Lambda : 0.00952766557789,0.02527885837422 & Score: -1244.465758
.Lambda : 0.01202262367575,0.02944543375784 & Score: -inf
.Lambda : 0.01376649296615,0.01672654450930 & Score: -inf
.Lambda : 0.01155319317108,0.01889201836274 & Score: -inf
.Lambda : 0.00933989337602,0.02105749221618 & Score: -1276.026743
.Lambda : 0.00722047968189,0.02533364914864 & Score: -1290.171455
.Lambda : 0.01164707927202,0.02100270144176 & Score: -inf
.Lambda : 0.01054042937449,0.02208543836848 & Score: -1251.805803
.Lambda : 0.01072820157635,0.02630680452652 & Score: -1223.012387
.Lambda : 0.01142235567652,0.02893146068169 & Score: -inf
.Lambda : 0.00971543777976,0.02950022453226 & Score: -1220.478962
.Lambda : 0.00930294198239,0.03320761761415 & Score: -1212.160903
.Lambda : 0.01050347798086,0.03423556376645 & Score: -1192.183266
.Lambda : 0.01099138418234,0.03871391646257 & Score: -inf
.Lambda : 0.00907821838689,0.04113637685408 & Score: -1193.495807
.Lambda : 0.01027875438536,0.04216432300638 & Score: -1173.888266
.Lambda : 0.01076666058684,0.04664267570250 & Score: -inf
.Lambda : 0.01170401397932,0.03526350991875 & Score: -inf
.Lambda : 0.01104756508121,0.03673172665259 & Score: -inf
.Lambda : 0.01039111618311,0.03819994338642 & Score: -1181.897643
.Lambda : 0.00967848638613,0.04165034993023 & Score: -1183.128851
.Lambda : 0.01099138418234,0.03871391646257 & Score: -inf
.Lambda : 0.01066315973329,0.03944802482948 & Score: -1175.467212
.Lambda : 0.01055079793554,0.04341240444945 & Score: -1167.960362
.Lambda : 0.01063063881175,0.04601863498097 & Score: -1162.098216
.Lambda : 0.01024623346382,0.04873493315787 & Score: -1162.278502
.Lambda : 0.01059811789022,0.05258924513245 & Score: -1152.452837
.Lambda : 0.01075779964265,0.05780170619548 & Score: -inf
.Lambda : 0.01098252323815,0.04987294695555 & Score: -inf
.Lambda : 0.01079845079457,0.04958844350613 & Score: -inf
